SPECIES_NAME,AGE_BAND,very_slow,slow,average,fast,very_fast,n
Barbel,0,30,36,39,44,105,19
Barbel,1,71,96,102,107,126,150
Barbel,2,110,142,156,165,211,237
Barbel,3,163,193,213,222,262,177
Barbel,4,210,247,268,276,350,78
Barbel,5,252,310,329,350,404,78
Barbel,6,325,390,415,450,505,62
Barbel,7,372,452,477,493,580,79
Barbel,8,387,452,472,496,568,74
Barbel,9,444,495,510,527,582,87
Barbel,10,448,505,523,544,605,84
Barbel,11,460,534,549,570,642,69
Barbel,12,492,525,535,574,647,49
Barbel,13,514,564,591,607,685,55
Barbel,14,506,582,610,620,700,41
Barbel,15,523,595,617,645,693,26
Barbel,16,545,620,623,640,701,14
Barbel,17,608,647,659,679,710,12
Barbel,18,679,679,679,709,765,4
Barbel,19,575,669,669,701,707,4
Barbel,20,541,541,541,579,579,2
Bleak,0,21,25,26,27,47,102
Bleak,1,51,65,68,72,104,175
Bleak,2,78,92,97,101,125,272
Bleak,3,98,113,115,120,137,209
Bleak,4,117,126,131,134,144,104
Bleak,5,112,126,133,145,152,20
Bleak,6,162,162,162,162,162,1
Bleak,7,153,153,153,153,153,1
Chub,0,25,37,41,44,70,150
Chub,1,58,75,78,84,108,1090
Chub,2,83,109,115,122,147,3256
Chub,3,116,145,152,159,198,3567
Chub,4,154,182,190,199,241,3293
Chub,5,184,220,229,239,285,2164
Chub,6,214,252,265,279,336,1623
Chub,7,246,293,307,321,383,1341
Chub,8,278,337,351,365,420,1095
Chub,9,304,361,376,391,442,1003
Chub,10,326,388,399,412,453,937
Chub,11,355,409,418,428,472,756
Chub,12,372,422,434,443,485,675
Chub,13,389,434,446,456,496,536
Chub,14,404,443,455,468,502,380
Chub,15,421,452,464,478,510,243
Chub,16,430,465,475,484,520,124
Chub,17,440,472,484,491,523,63
Chub,18,440,451,466,480,503,22
Chub,19,393,475,482,506,523,10
Chub,20,448,471,517,517,534,5
Common bream,0,36,46,49,53,61,45
Common bream,1,56,66,70,74,97,323
Common bream,2,77,100,104,109,137,686
Common bream,3,107,136,143,152,192,632
Common bream,4,136,168,177,187,234,462
Common bream,5,171,211,221,234,296,361
Common bream,6,203,254,271,286,376,238
Common bream,7,234,300,321,360,415,167
Common bream,8,285,355,376,395,465,149
Common bream,9,294,381,396,412,487,113
Common bream,10,334,420,432,442,520,97
Common bream,11,376,452,465,482,536,116
Common bream,12,358,455,482,490,541,65
Common bream,13,430,467,472,477,560,50
Common bream,14,413,458,471,486,522,26
Common bream,15,445,476,486,489,510,25
Common bream,16,462,474,487,500,535,14
Common bream,17,472,477,477,502,554,4
Common bream,18,445,483,483,483,505,4
Common bream,19,467,467,467,472,472,2
Dace,0,35,46,49,52,65,507
Dace,1,63,82,86,91,112,3481
Dace,2,91,113,119,125,151,5810
Dace,3,123,146,152,158,182,4612
Dace,4,150,171,176,181,205,3037
Dace,5,170,190,195,200,222,1435
Dace,6,188,207,211,215,241,621
Dace,7,199,216,220,226,247,245
Dace,8,203,225,230,232,256,103
Dace,9,203,225,235,238,253,25
Dace,10,232,236,236,249,300,6
Dace,11,286,286,286,286,286,1
Grayling,0,64,88,93,97,124,483
Grayling,1,134,185,191,197,227,994
Grayling,2,218,246,254,263,295,582
Grayling,3,247,280,290,297,342,209
Grayling,4,269,314,323,338,385,61
Grayling,5,285,331,343,356,400,7
Grayling,10,408,408,408,408,408,1
Gudgeon,0,30,40,44,50,65,80
Gudgeon,1,62,74,78,84,104,296
Gudgeon,2,87,102,105,108,122,797
Gudgeon,3,105,118,122,126,138,273
Gudgeon,4,123,133,136,139,149,63
Gudgeon,5,106,148,150,151,161,9
Gudgeon,7,160,160,160,160,160,1
Perch,0,49,60,64,70,94,119
Perch,1,77,101,107,113,144,548
Perch,2,119,144,152,159,197,597
Perch,3,145,173,185,195,255,310
Perch,4,171,207,219,233,285,160
Perch,5,195,240,255,283,324,75
Perch,6,215,278,289,300,357,59
Perch,7,268,317,330,340,365,41
Perch,8,270,333,353,356,382,19
Perch,9,312,353,358,362,401,11
Perch,10,312,330,330,344,375,6
Perch,11,347,347,347,388,388,2
Perch,13,333,333,333,333,333,1
Pike,0,111,147,157,170,224,288
Pike,1,192,251,266,283,355,333
Pike,2,283,374,399,423,503,266
Pike,3,392,488,503,523,617,188
Pike,4,451,542,557,580,670,188
Pike,5,501,608,628,651,736,148
Pike,6,560,687,705,725,842,104
Pike,7,564,668,692,741,829,50
Pike,8,573,762,803,825,928,34
Pike,9,642,732,803,855,945,17
Pike,10,700,863,912,928,956,9
Pike,11,747,805,805,960,967,4
Pike,13,800,800,800,800,800,1
Roach,0,31,38,40,43,58,278
Roach,1,55,66,69,72,91,4070
Roach,2,72,89,94,100,127,9277
Roach,3,96,115,121,126,156,9995
Roach,4,117,139,145,152,184,7776
Roach,5,135,161,168,175,207,4892
Roach,6,154,181,189,197,231,3083
Roach,7,168,195,203,211,247,1686
Roach,8,181,210,218,224,264,856
Roach,9,194,221,232,241,283,383
Roach,10,205,237,248,256,299,206
Roach,11,217,254,260,272,317,87
Roach,12,238,271,284,297,324,34
Roach,13,265,295,302,303,321,10
Roach,14,247,247,247,297,297,2
Roach,15,215,230,230,287,336,4
Roach,16,337,337,337,337,337,1
Rudd,1,55,64,67,70,82,100
Rudd,2,72,87,92,95,113,230
Rudd,3,89,112,117,125,147,116
Rudd,4,115,134,142,145,164,74
Rudd,5,125,148,154,163,196,37
Rudd,6,110,173,177,188,220,20
Rudd,7,169,200,200,205,270,18
Rudd,8,220,270,274,276,285,11
Rudd,9,182,182,182,278,278,2
Rudd,11,330,330,330,355,355,2
Rudd,12,286,286,286,286,286,1
Rudd,14,315,315,315,358,358,2
Silver bream,1,60,70,72,76,90,50
Silver bream,2,70,82,86,90,115,133
Silver bream,3,84,102,105,110,135,157
Silver bream,4,108,126,133,138,158,74
Silver bream,5,122,142,144,156,182,36
Silver bream,6,140,157,160,180,190,12
Silver bream,7,138,171,176,204,216,9
Silver bream,8,160,160,160,180,180,2
Silver bream,9,230,230,230,230,230,1
